Longitude,Latitude,sp
-39.46666700000001,-9.841944,Cenostigma pyramidale
-38.217641,-9.400062,Cenostigma pyramidale
-38.7725,-11.123611,Cenostigma pyramidale
-38.561459000000006,-10.70953,Cenostigma pyramidale
-39.984722,-10.658333,Cenostigma pyramidale
-36.947827000000004,-10.084482,Cenostigma pyramidale
-36.394222,-7.675233,Cenostigma pyramidale
-38.9275,-12.15,Cenostigma pyramidale
-42.183333000000005,-11.15,Cenostigma pyramidale
-39.96000000000001,-12.96,Cenostigma pyramidale
-42.317778,-11.901389,Cenostigma pyramidale
-42.634722,-11.664167,Cenostigma pyramidale
-41.410556,-3.075556,Cenostigma pyramidale
-37.39111100000001,-6.945277999999999,Cenostigma pyramidale
-37.001661,-5.509465,Cenostigma pyramidale
-37.107077,-5.377097,Cenostigma pyramidale
-37.126359,-5.512746000000001,Cenostigma pyramidale
-40.205278,-12.735556,Cenostigma pyramidale
-41.882778,-6.936388999999999,Cenostigma pyramidale
-40.38916699999999,-9.772222,Cenostigma pyramidale
-38.57775,-3.746528,Cenostigma pyramidale
-38.177253,-6.3286,Cenostigma pyramidale
-38.45628200000001,-6.985287,Cenostigma pyramidale
-38.64464699999999,-6.859413,Cenostigma pyramidale
-37.052175,-5.642358,Cenostigma pyramidale
-40.166667,-11.883333,Cenostigma pyramidale
-38.935883,-11.195028,Cenostigma pyramidale
-40.86,-9.18,Cenostigma pyramidale
-37.56298900000001,-9.475817,Cenostigma pyramidale
-37.391667,-9.543889,Cenostigma pyramidale
-40.139722,-9.719722,Cenostigma pyramidale
-41.39999999999999,-8.819722,Cenostigma pyramidale
-41.199726,-9.354932,Cenostigma pyramidale
-37.2,-9.72,Cenostigma pyramidale
-39.4625,-5.582499999999999,Cenostigma pyramidale
-38.52,-11.34,Cenostigma pyramidale
-37.98,-10.62,Cenostigma pyramidale
-39.78,-11.34,Cenostigma pyramidale
-38.64715,-6.575726,Cenostigma pyramidale
-38.478230999999994,-6.815778,Cenostigma pyramidale
